,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
28068,275,311002,SMA NEGERI 1 GOMBONG,20330281,N,168,86.2,67.71,66.21,65.45,73.1,71.21,0.0,3,11,2,2017,JAWA TENGAH,KABUPATEN KEBUMEN
27637,1466,224033,"SMA INSAN CENDEKIA AL KAUSAR, KABUPATEN SUKABUMI",20247152,S,35,86.17,82.17,71.71,75.0,65.5,75.42,0.0,2,24,33,2017,JAWA BARAT,KABUPATEN SUKABUMI
29164,190,504001,SMA NEGERI 1 KOTA KEDIRI,20534389,N,260,86.17,75.38,64.1,60.51,75.16,71.04,0.0,5,4,1,2017,JAWA TIMUR,KOTA KEDIRI
28667,874,330210,SMA SEDES SAPIENTIAE JAMBU,20320392,S,16,86.13,81.63,75.31,73.25,63.13,70.0,0.0,3,30,210,2017,JAWA TENGAH,KABUPATEN SEMARANG
28318,525,321008,SMA NEGERI 1 WONOGIRI,20311334,N,238,86.11,72.11,72.15,71.55,73.16,75.13,0.0,3,21,8,2017,JAWA TENGAH,KABUPATEN WONOGIRI
25716,12,101015,SMA NEGERI 77,20100201,N,108,86.07,82.67,74.14,66.77,82.5,74.8,0.0,1,1,15,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
25776,72,102023,SMA KRISTEN 5 BPK PENABUR,20100601,S,142,86.01,85.42,89.44,78.59,85.0,79.85,0.0,1,2,23,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
26558,387,207525,"MA INTERNASIONAL TECHNO NATURA, KOTA DEPOK",20277163,S,2,86.0,85.0,43.75,52.5,0.0,0.0,0.0,2,7,525,2017,JAWA BARAT,KOTA DEPOK
29100,126,501181,SMA XIN ZHONG,69919595,S,1,86.0,82.0,70.0,0.0,75.0,0.0,0.0,5,1,181,2017,JAWA TIMUR,KOTA SURABAYA
29237,263,509010,SMA AL - IZZAH,69727602,S,59,85.97,73.42,70.55,57.08,76.14,72.85,0.0,5,9,10,2017,JAWA TIMUR,KOTA BATU
28053,260,310007,SMA NEGERI 1 PURBALINGGA,20303249,N,288,85.94,72.65,71.5,65.54,72.84,72.67,0.0,3,10,7,2017,JAWA TENGAH,KABUPATEN PURBALINGGA
26084,380,105039,SMA NEGERI 81,20103301,N,180,85.94,82.14,78.4,75.52,81.9,75.8,0.0,1,5,39,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
28059,266,310205,SMA MUHAMMADIYAH 1 PURBALINGGA,20303235,S,27,85.93,56.37,51.57,0.0,0.0,67.78,0.0,3,10,205,2017,JAWA TENGAH,KABUPATEN PURBALINGGA
26074,370,105027,SMA NEGERI 62,20103306,N,108,85.93,77.67,71.74,70.15,78.33,78.22,0.0,1,5,27,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
25820,116,102094,SMA IPEKA PLUIT,20107382,S,41,85.9,84.0,76.46,67.5,87.08,80.42,0.0,1,2,94,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
